"Name","Resident Jobs"
"Description","Industry number and percentages refer to the total and share of workers (aged 16 and over) in an industry, by the residence of the jobholder. CCC generated 5-year estimates and coded this variable to correspond with broader categories outlined by the <a href=""https://www.naics.com/naics-code-description/"" target=""_blank"">North American Industry Classification System</a>.&nbsp;<br />
<br />
""Management and Professional Services"" includes workers in Legal Services, Scientific Research and Development, Architectural and Engineering Services, and other professions which tend to require advanced degrees or certificates.<br />
<br />
""Other Services"" includes workers in Auto Repair and Maintenance, Barber Shops, Beauty Salons, and Religious Organizations, among others.<br />
Sheepshead Bay,Education,2021,Number,6403,315
Bensonhurst,Education,2021,Number,7154,311
Coney Island,Education,2021,Number,3593,313
Astoria,Education,2021,Number,9241,401
Jackson Heights,Education,2021,Number,6001,403
Flushing,Education,2021,Number,7778,407
Bayside,Education,2021,Number,6693,411
Queens Village,Education,2021,Number,9322,413
Fresh Meadows/Briarwood,Education,2021,Number,7517,408
Elmhurst/Corona,Education,2021,Number,2907,404
Rego Park/Forest Hills,Education,2021,Number,5813,406
Sunnyside/Woodside,Education,2021,Number,5117,402
Ridgewood/Glendale,Education,2021,Number,9179,405
Woodhaven,Education,2021,Number,5597,409
Jamaica/St. Albans,Education,2021,Number,9002,412
Howard Beach,Education,2021,Number,5352,410
The Rockaways,Education,2021,Number,6490,414
Bronx,Education,2021,Number,50337,36005
Brooklyn,Education,2021,Number,130289,36047
Manhattan,Education,2021,Number,94931,36061
Queens,Education,2021,Number,95986,36081
Staten Island,Education,2021,Number,26691,36085
New York City,Education,2021,Number,398234,3651000
Riverdale,Education,2021,Percent,0.01018,208
Williamsbridge,Education,2021,Percent,0.00982,212
Throgs Neck,Education,2021,Percent,0.01063,210
Pelham Parkway,Education,2021,Percent,0.00958,211
Morrisania,Education,2021,Percent,0.00751,203
East Tremont,Education,2021,Percent,0.00751,206
Bedford Park,Education,2021,Percent,0.00679,207
University Heights,Education,2021,Percent,0.00515,205
Concourse/Highbridge,Education,2021,Percent,0.00705,204
Unionport/Soundview,Education,2021,Percent,0.01022,209
Mott Haven,Education,2021,Percent,0.00728,201
Hunts Point,Education,2021,Percent,0.00728,202
Washington Heights,Education,2021,Percent,0.02204,112
Manhattanville,Education,2021,Percent,0.02254,109
Central Harlem,Education,2021,Percent,0.0142,110
East Harlem,Education,2021,Percent,0.00853,111
Upper East Side,Education,2021,Percent,0.02132,108
Upper West Side,Education,2021,Percent,0.01886,107
Chelsea/Clinton,Education,2021,Percent,0.0121,104
Midtown Business District,Education,2021,Percent,0.0121,105
Murray Hill/Stuyvesant,Education,2021,Percent,0.01304,106
Lower East Side,Education,2021,Percent,0.01046,103
Battery Park/Tribeca,Education,2021,Percent,0.01575,101
Greenwich Village,Education,2021,Percent,0.01575,102
Tottenville,Education,2021,Percent,0.01934,503
South Beach,Education,2021,Percent,0.01096,502
St. George,Education,2021,Percent,0.01436,501
Williamsburg/Greenpoint,Education,2021,Percent,0.0136,301
Bushwick,Education,2021,Percent,0.00892,304
Bedford Stuyvesant,Education,2021,Percent,0.01318,303
Fort Greene/Brooklyn Hts,Education,2021,Percent,0.01442,302
Park Slope,Education,2021,Percent,0.01518,306
Crown Heights North,Education,2021,Percent,0.01587,308
Brownsville,Education,2021,Percent,0.00668,316
East New York,Education,2021,Percent,0.00909,305
Canarsie,Education,2021,Percent,0.01688,318
East Flatbush,Education,2021,Percent,0.00984,317
Crown Heights South,Education,2021,Percent,0.01238,309
Sunset Park,Education,2021,Percent,0.00943,307
Bay Ridge,Education,2021,Percent,0.01262,310
Borough Park,Education,2021,Percent,0.01662,312
Flatbush/Midwood,Education,2021,Percent,0.01459,314
Sheepshead Bay,Education,2021,Percent,0.01071,315
Bensonhurst,Education,2021,Percent,0.01197,311
Coney Island,Education,2021,Percent,0.00601,313
Astoria,Education,2021,Percent,0.01546,401
Jackson Heights,Education,2021,Percent,0.01004,403
Flushing,Education,2021,Percent,0.01301,407
Bayside,Education,2021,Percent,0.0112,411
Queens Village,Education,2021,Percent,0.0156,413
Fresh Meadows/Briarwood,Education,2021,Percent,0.01258,408
Elmhurst/Corona,Education,2021,Percent,0.00486,404
Rego Park/Forest Hills,Education,2021,Percent,0.00973,406
Sunnyside/Woodside,Education,2021,Percent,0.00856,402
Ridgewood/Glendale,Education,2021,Percent,0.01536,405
Woodhaven,Education,2021,Percent,0.00936,409
Jamaica/St. Albans,Education,2021,Percent,0.01506,412
Howard Beach,Education,2021,Percent,0.00895,410
The Rockaways,Education,2021,Percent,0.01086,414
Bronx,Education,2021,Percent,0.08422,36005
Brooklyn,Education,2021,Percent,0.21799,36047
Manhattan,Education,2021,Percent,0.15883,36061
Queens,Education,2021,Percent,0.16059,36081
Staten Island,Education,2021,Percent,0.04466,36085
New York City,Education,2021,Percent,0.66629,3651000
Riverdale,Health Care and Social Services,2021,Number,11655,208
Williamsbridge,Health Care and Social Services,2021,Number,21592,212
Throgs Neck,Health Care and Social Services,2021,Number,13133,210
Pelham Parkway,Health Care and Social Services,2021,Number,13743,211
Morrisania,Health Care and Social Services,2021,Number,8294.70004,203
East Tremont,Health Care and Social Services,2021,Number,8659.29996,206
Bedford Park,Health Care and Social Services,2021,Number,14655,207
University Heights,Health Care and Social Services,2021,Number,13939,205
Concourse/Highbridge,Health Care and Social Services,2021,Number,14692,204
Unionport/Soundview,Health Care and Social Services,2021,Number,19148,209
Mott Haven,Health Care and Social Services,2021,Number,8838.24496,201
Hunts Point,Health Care and Social Services,2021,Number,5046.75504,202
Washington Heights,Health Care and Social Services,2021,Number,20422,112
Manhattanville,Health Care and Social Services,2021,Number,10175,109
Central Harlem,Health Care and Social Services,2021,Number,12133,110
East Harlem,Health Care and Social Services,2021,Number,10358,111
Upper East Side,Health Care and Social Services,2021,Number,19569,108
Upper West Side,Health Care and Social Services,2021,Number,14281,107
Chelsea/Clinton,Health Care and Social Services,2021,Number,6731.13841,104
Midtown Business District,Health Care and Social Services,2021,Number,3368.86159,105
Murray Hill/Stuyvesant,Health Care and Social Services,2021,Number,10001,106
Lower East Side,Health Care and Social Services,2021,Number,9878,103
Battery Park/Tribeca,Health Care and Social Services,2021,Number,3109.59773,101
Greenwich Village,Health Care and Social Services,2021,Number,4590.40227,102
Tottenville,Health Care and Social Services,2021,Number,13314,503
South Beach,Health Care and Social Services,2021,Number,12994,502
St. George,Health Care and Social Services,2021,Number,18070,501
Williamsburg/Greenpoint,Health Care and Social Services,2021,Number,8591,301
Bushwick,Health Care and Social Services,2021,Number,9801,304
Bedford Stuyvesant,Health Care and Social Services,2021,Number,11903,303
Fort Greene/Brooklyn Hts,Health Care and Social Services,2021,Number,9434,302
Park Slope,Health Care and Social Services,2021,Number,6912,306
Crown Heights North,Health Care and Social Services,2021,Number,12284,308
Brownsville,Health Care and Social Services,2021,Number,12111,316
East New York,Health Care and Social Services,2021,Number,16438,305
Canarsie,Health Care and Social Services,2021,Number,28040,318
East Flatbush,Health Care and Social Services,2021,Number,20197,317
Crown Heights South,Health Care and Social Services,2021,Number,12112,309
Sunset Park,Health Care and Social Services,2021,Number,9620,307
Bay Ridge,Health Care and Social Services,2021,Number,10088,310
Borough Park,Health Care and Social Services,2021,Number,9213,312
Flatbush/Midwood,Health Care and Social Services,2021,Number,17190,314
Sheepshead Bay,Health Care and Social Services,2021,Number,15128,315
Bensonhurst,Health Care and Social Services,2021,Number,17571,311
Coney Island,Health Care and Social Services,2021,Number,11494,313
Astoria,Health Care and Social Services,2021,Number,9826,401
Jackson Heights,Health Care and Social Services,2021,Number,10990,403
Flushing,Health Care and Social Services,2021,Number,19085,407
Bayside,Health Care and Social Services,2021,Number,9648,411
Queens Village,Health Care and Social Services,2021,Number,27258,413
Fresh Meadows/Briarwood,Health Care and Social Services,2021,Number,16655,408
Elmhurst/Corona,Health Care and Social Services,2021,Number,10285,404
Rego Park/Forest Hills,Health Care and Social Services,2021,Number,12403,406
Sunnyside/Woodside,Health Care and Social Services,2021,Number,9624,402
Ridgewood/Glendale,Health Care and Social Services,2021,Number,12964,405
Woodhaven,Health Care and Social Services,2021,Number,13373,409
Jamaica/St. Albans,Health Care and Social Services,2021,Number,28752,412
Howard Beach,Health Care and Social Services,2021,Number,12190,410
The Rockaways,Health Care and Social Services,2021,Number,13796,414
Bronx,Health Care and Social Services,2021,Number,153396,36005
Brooklyn,Health Care and Social Services,2021,Number,238127,36047
Manhattan,Health Care and Social Services,2021,Number,124617,36061
Queens,Health Care and Social Services,2021,Number,206832,36081
Staten Island,Health Care and Social Services,2021,Number,44378,36085
New York City,Health Care and Social Services,2021,Number,767350,3651000
Riverdale,Health Care and Social Services,2021,Percent,0.23677,208
Williamsbridge,Health Care and Social Services,2021,Percent,0.31016,212
Throgs Neck,Health Care and Social Services,2021,Percent,0.2342,210
Pelham Parkway,Health Care and Social Services,2021,Percent,0.24115,211
Morrisania,Health Care and Social Services,2021,Percent,0.26587,203
East Tremont,Health Care and Social Services,2021,Percent,0.26587,206
Bedford Park,Health Care and Social Services,2021,Percent,0.24976,207
University Heights,Health Care and Social Services,2021,Percent,0.24865,205
Concourse/Highbridge,Health Care and Social Services,2021,Percent,0.2482,204
Unionport/Soundview,Health Care and Social Services,2021,Percent,0.25975,209
Mott Haven,Health Care and Social Services,2021,Percent,0.25539,201
Hunts Point,Health Care and Social Services,2021,Percent,0.25539,202
Washington Heights,Health Care and Social Services,2021,Percent,0.18609,112
Manhattanville,Health Care and Social Services,2021,Percent,0.14921,109
Central Harlem,Health Care and Social Services,2021,Percent,0.1824,110
East Harlem,Health Care and Social Services,2021,Percent,0.21158,111
Upper East Side,Health Care and Social Services,2021,Percent,0.15795,108
Upper West Side,Health Care and Social Services,2021,Percent,0.13022,107
Chelsea/Clinton,Health Care and Social Services,2021,Percent,0.0959,104
Midtown Business District,Health Care and Social Services,2021,Percent,0.0959,105
Murray Hill/Stuyvesant,Health Care and Social Services,2021,Percent,0.10375,106
Lower East Side,Health Care and Social Services,2021,Percent,0.13148,103
Battery Park/Tribeca,Health Care and Social Services,2021,Percent,0.07557,101
Greenwich Village,Health Care and Social Services,2021,Percent,0.07557,102
Tottenville,Health Care and Social Services,2021,Percent,0.16557,503
South Beach,Health Care and Social Services,2021,Percent,0.20726,502
St. George,Health Care and Social Services,2021,Percent,0.22209,501
Williamsburg/Greenpoint,Health Care and Social Services,2021,Percent,0.0914,301
Bushwick,Health Care and Social Services,2021,Percent,0.13589,304
Bedford Stuyvesant,Health Care and Social Services,2021,Percent,0.15796,303
Fort Greene/Brooklyn Hts,Health Care and Social Services,2021,Percent,0.11267,302
Park Slope,Health Care and Social Services,2021,Percent,0.09776,306
Crown Heights North,Health Care and Social Services,2021,Percent,0.16503,308
Brownsville,Health Care and Social Services,2021,Percent,0.26367,316
East New York,Health Care and Social Services,2021,Percent,0.24147,305
Canarsie,Health Care and Social Services,2021,Percent,0.29646,318
East Flatbush,Health Care and Social Services,2021,Percent,0.30667,317
Crown Heights South,Health Care and Social Services,2021,Percent,0.21518,309
Sunset Park,Health Care and Social Services,2021,Percent,0.13969,307
Bay Ridge,Health Care and Social Services,2021,Percent,0.16288,310
Borough Park,Health Care and Social Services,2021,Percent,0.16115,312
Flatbush/Midwood,Health Care and Social Services,2021,Percent,0.22067,314
Sheepshead Bay,Health Care and Social Services,2021,Percent,0.21698,315
Bensonhurst,Health Care and Social Services,2021,Percent,0.19631,311
Coney Island,Health Care and Social Services,2021,Percent,0.25254,313
Astoria,Health Care and Social Services,2021,Percent,0.10421,401
Jackson Heights,Health Care and Social Services,2021,Percent,0.12467,403
Flushing,Health Care and Social Services,2021,Percent,0.16552,407
Bayside,Health Care and Social Services,2021,Percent,0.15813,411
Queens Village,Health Care and Social Services,2021,Percent,0.26313,413
Fresh Meadows/Briarwood,Health Care and Social Services,2021,Percent,0.21569,408
Elmhurst/Corona,Health Care and Social Services,2021,Percent,0.13973,404
Rego Park/Forest Hills,Health Care and Social Services,2021,Percent,0.19734,406
Sunnyside/Woodside,Health Care and Social Services,2021,Percent,0.12118,402
Ridgewood/Glendale,Health Care and Social Services,2021,Percent,0.13457,405
Woodhaven,Health Care and Social Services,2021,Percent,0.17902,409
Jamaica/St. Albans,Health Care and Social Services,2021,Percent,0.24239,412
Howard Beach,Health Care and Social Services,2021,Percent,0.18508,410
The Rockaways,Health Care and Social Services,2021,Percent,0.25525,414
Bronx,Health Care and Social Services,2021,Percent,0.25665,36005
Brooklyn,Health Care and Social Services,2021,Percent,0.18725,36047
Manhattan,Health Care and Social Services,2021,Percent,0.13759,36061
Queens,Health Care and Social Services,2021,Percent,0.17757,36081
Staten Island,Health Care and Social Services,2021,Percent,0.1977,36085
New York City,Health Care and Social Services,2021,Percent,0.18427,3651000
Riverdale,"Hospitality, Accommodation, Restaurants",2021,Number,4606,208
Williamsbridge,"Hospitality, Accommodation, Restaurants",2021,Number,5300,212
Throgs Neck,"Hospitality, Accommodation, Restaurants",2021,Number,4767,210
Pelham Parkway,"Hospitality, Accommodation, Restaurants",2021,Number,5259,211
Morrisania,"Hospitality, Accommodation, Restaurants",2021,Number,3369.93594,203
East Tremont,"Hospitality, Accommodation, Restaurants",2021,Number,3518.06406,206
Bedford Park,"Hospitality, Accommodation, Restaurants",2021,Number,7396,207
University Heights,"Hospitality, Accommodation, Restaurants",2021,Number,8566,205
Concourse/Highbridge,"Hospitality, Accommodation, Restaurants",2021,Number,7130,204
Unionport/Soundview,"Hospitality, Accommodation, Restaurants",2021,Number,7776,209
Mott Haven,"Hospitality, Accommodation, Restaurants",2021,Number,4350.05877,201
Hunts Point,"Hospitality, Accommodation, Restaurants",2021,Number,2483.94123,202
Washington Heights,"Hospitality, Accommodation, Restaurants",2021,Number,15289,112
Manhattanville,"Hospitality, Accommodation, Restaurants",2021,Number,9767,109
Central Harlem,"Hospitality, Accommodation, Restaurants",2021,Number,7311,110
East Harlem,"Hospitality, Accommodation, Restaurants",2021,Number,6186,111
Upper East Side,"Hospitality, Accommodation, Restaurants",2021,Number,5893,108
Upper West Side,"Hospitality, Accommodation, Restaurants",2021,Number,9200,107
Chelsea/Clinton,"Hospitality, Accommodation, Restaurants",2021,Number,6155.32617,104
Midtown Business District,"Hospitality, Accommodation, Restaurants",2021,Number,3080.67383,105
Murray Hill/Stuyvesant,"Hospitality, Accommodation, Restaurants",2021,Number,5543,106
Lower East Side,"Hospitality, Accommodation, Restaurants",2021,Number,8636,103
Battery Park/Tribeca,"Hospitality, Accommodation, Restaurants",2021,Number,3344.63486,101
Greenwich Village,"Hospitality, Accommodation, Restaurants",2021,Number,4937.36514,102
Tottenville,"Hospitality, Accommodation, Restaurants",2021,Number,4231,503
South Beach,"Hospitality, Accommodation, Restaurants",2021,Number,4770,502
St. George,"Hospitality, Accommodation, Restaurants",2021,Number,6450,501
Williamsburg/Greenpoint,"Hospitality, Accommodation, Restaurants",2021,Number,10640,301
Bushwick,"Hospitality, Accommodation, Restaurants",2021,Number,11243,304
Bedford Stuyvesant,"Hospitality, Accommodation, Restaurants",2021,Number,7948,303
Fort Greene/Brooklyn Hts,"Hospitality, Accommodation, Restaurants",2021,Number,6539,302
Park Slope,"Hospitality, Accommodation, Restaurants",2021,Number,5824,306
Crown Heights North,"Hospitality, Accommodation, Restaurants",2021,Number,6815,308
Brownsville,"Hospitality, Accommodation, Restaurants",2021,Number,3645,316
East New York,"Hospitality, Accommodation, Restaurants",2021,Number,5508,305
Canarsie,"Hospitality, Accommodation, Restaurants",2021,Number,5164,318
East Flatbush,"Hospitality, Accommodation, Restaurants",2021,Number,4476,317
Crown Heights South,"Hospitality, Accommodation, Restaurants",2021,Number,4988,309
Sunset Park,"Hospitality, Accommodation, Restaurants",2021,Number,12107,307
Bay Ridge,"Hospitality, Accommodation, Restaurants",2021,Number,5565,310
Borough Park,"Hospitality, Accommodation, Restaurants",2021,Number,4901,312
Flatbush/Midwood,"Hospitality, Accommodation, Restaurants",2021,Number,7043,314
Sheepshead Bay,"Hospitality, Accommodation, Restaurants",2021,Number,4708,315
Bensonhurst,"Hospitality, Accommodation, Restaurants",2021,Number,8980,311
Coney Island,"Hospitality, Accommodation, Restaurants",2021,Number,2975,313
Astoria,"Hospitality, Accommodation, Restaurants",2021,Number,13085,401
Jackson Heights,"Hospitality, Accommodation, Restaurants",2021,Number,14935,403
Flushing,"Hospitality, Accommodation, Restaurants",2021,Number,14365,407
Bayside,"Hospitality, Accommodation, Restaurants",2021,Number,4977,411
Queens Village,"Hospitality, Accommodation, Restaurants",2021,Number,6617,413
Fresh Meadows/Briarwood,"Hospitality, Accommodation, Restaurants",2021,Number,6498,408
Elmhurst/Corona,"Hospitality, Accommodation, Restaurants",2021,Number,14314,404
Rego Park/Forest Hills,"Hospitality, Accommodation, Restaurants",2021,Number,4175,406
Sunnyside/Woodside,"Hospitality, Accommodation, Restaurants",2021,Number,10186,402
Ridgewood/Glendale,"Hospitality, Accommodation, Restaurants",2021,Number,10489,405
Woodhaven,"Hospitality, Accommodation, Restaurants",2021,Number,7426,409
Jamaica/St. Albans,"Hospitality, Accommodation, Restaurants",2021,Number,9032,412
Howard Beach,"Hospitality, Accommodation, Restaurants",2021,Number,4634,410
The Rockaways,"Hospitality, Accommodation, Restaurants",2021,Number,3634,414
Bronx,"Hospitality, Accommodation, Restaurants",2021,Number,64522,36005
Brooklyn,"Hospitality, Accommodation, Restaurants",2021,Number,119069,36047
Manhattan,"Hospitality, Accommodation, Restaurants",2021,Number,85343,36061
Queens,"Hospitality, Accommodation, Restaurants",2021,Number,124335,36081
Staten Island,"Hospitality, Accommodation, Restaurants",2021,Number,15451,36085
New York City,"Hospitality, Accommodation, Restaurants",2021,Number,408720,3651000
Riverdale,"Hospitality, Accommodation, Restaurants",2021,Percent,0.00771,208
Williamsbridge,"Hospitality, Accommodation, Restaurants",2021,Percent,0.00887,212
Throgs Neck,"Hospitality, Accommodation, Restaurants",2021,Percent,0.00798,210
Pelham Parkway,"Hospitality, Accommodation, Restaurants",2021,Percent,0.0088,211
Morrisania,"Hospitality, Accommodation, Restaurants",2021,Percent,0.01152,203
East Tremont,"Hospitality, Accommodation, Restaurants",2021,Percent,0.01152,206
Bedford Park,"Hospitality, Accommodation, Restaurants",2021,Percent,0.01237,207
University Heights,"Hospitality, Accommodation, Restaurants",2021,Percent,0.01433,205
Concourse/Highbridge,"Hospitality, Accommodation, Restaurants",2021,Percent,0.01193,204
Unionport/Soundview,"Hospitality, Accommodation, Restaurants",2021,Percent,0.01301,209
Mott Haven,"Hospitality, Accommodation, Restaurants",2021,Percent,0.01143,201
Hunts Point,"Hospitality, Accommodation, Restaurants",2021,Percent,0.01143,202
Washington Heights,"Hospitality, Accommodation, Restaurants",2021,Percent,0.02558,112
Manhattanville,"Hospitality, Accommodation, Restaurants",2021,Percent,0.01634,109
Central Harlem,"Hospitality, Accommodation, Restaurants",2021,Percent,0.01223,110
East Harlem,"Hospitality, Accommodation, Restaurants",2021,Percent,0.01035,111
Upper East Side,"Hospitality, Accommodation, Restaurants",2021,Percent,0.00986,108
Upper West Side,"Hospitality, Accommodation, Restaurants",2021,Percent,0.01539,107
Chelsea/Clinton,"Hospitality, Accommodation, Restaurants",2021,Percent,0.01545,104
Midtown Business District,"Hospitality, Accommodation, Restaurants",2021,Percent,0.01545,105
Murray Hill/Stuyvesant,"Hospitality, Accommodation, Restaurants",2021,Percent,0.00927,106
Lower East Side,"Hospitality, Accommodation, Restaurants",2021,Percent,0.01445,103
Battery Park/Tribeca,"Hospitality, Accommodation, Restaurants",2021,Percent,0.01386,101
Greenwich Village,"Hospitality, Accommodation, Restaurants",2021,Percent,0.01386,102
Tottenville,"Hospitality, Accommodation, Restaurants",2021,Percent,0.00708,503
South Beach,"Hospitality, Accommodation, Restaurants",2021,Percent,0.00798,502
St. George,"Hospitality, Accommodation, Restaurants",2021,Percent,0.01079,501
Williamsburg/Greenpoint,"Hospitality, Accommodation, Restaurants",2021,Percent,0.0178,301
Bushwick,"Hospitality, Accommodation, Restaurants",2021,Percent,0.01881,304
Bedford Stuyvesant,"Hospitality, Accommodation, Restaurants",2021,Percent,0.0133,303
Fort Greene/Brooklyn Hts,"Hospitality, Accommodation, Restaurants",2021,Percent,0.01094,302
Park Slope,"Hospitality, Accommodation, Restaurants",2021,Percent,0.00974,306
Crown Heights North,"Hospitality, Accommodation, Restaurants",2021,Percent,0.0114,308
Brownsville,"Hospitality, Accommodation, Restaurants",2021,Percent,0.0061,316
East New York,"Hospitality, Accommodation, Restaurants",2021,Percent,0.00922,305
Canarsie,"Hospitality, Accommodation, Restaurants",2021,Percent,0.00864,318
East Flatbush,"Hospitality, Accommodation, Restaurants",2021,Percent,0.00749,317
Crown Heights South,"Hospitality, Accommodation, Restaurants",2021,Percent,0.00835,309
Sunset Park,"Hospitality, Accommodation, Restaurants",2021,Percent,0.02026,307
Bay Ridge,"Hospitality, Accommodation, Restaurants",2021,Percent,0.00931,310
Borough Park,"Hospitality, Accommodation, Restaurants",2021,Percent,0.0082,312
Flatbush/Midwood,"Hospitality, Accommodation, Restaurants",2021,Percent,0.01178,314
Sheepshead Bay,"Hospitality, Accommodation, Restaurants",2021,Percent,0.00788,315
Bensonhurst,"Hospitality, Accommodation, Restaurants",2021,Percent,0.01502,311
Coney Island,"Hospitality, Accommodation, Restaurants",2021,Percent,0.00498,313
Astoria,"Hospitality, Accommodation, Restaurants",2021,Percent,0.02189,401
Jackson Heights,"Hospitality, Accommodation, Restaurants",2021,Percent,0.02499,403
Flushing,"Hospitality, Accommodation, Restaurants",2021,Percent,0.02403,407
Bayside,"Hospitality, Accommodation, Restaurants",2021,Percent,0.00833,411
Queens Village,"Hospitality, Accommodation, Restaurants",2021,Percent,0.01107,413
Fresh Meadows/Briarwood,"Hospitality, Accommodation, Restaurants",2021,Percent,0.01087,408
Elmhurst/Corona,"Hospitality, Accommodation, Restaurants",2021,Percent,0.02395,404
Rego Park/Forest Hills,"Hospitality, Accommodation, Restaurants",2021,Percent,0.00699,406
Sunnyside/Woodside,"Hospitality, Accommodation, Restaurants",2021,Percent,0.01704,402
Ridgewood/Glendale,"Hospitality, Accommodation, Restaurants",2021,Percent,0.01755,405
Woodhaven,"Hospitality, Accommodation, Restaurants",2021,Percent,0.01242,409
Jamaica/St. Albans,"Hospitality, Accommodation, Restaurants",2021,Percent,0.01511,412
Howard Beach,"Hospitality, Accommodation, Restaurants",2021,Percent,0.00775,410
The Rockaways,"Hospitality, Accommodation, Restaurants",2021,Percent,0.00608,414
Bronx,"Hospitality, Accommodation, Restaurants",2021,Percent,0.10795,36005
Brooklyn,"Hospitality, Accommodation, Restaurants",2021,Percent,0.19922,36047
Manhattan,"Hospitality, Accommodation, Restaurants",2021,Percent,0.14279,36061
Queens,"Hospitality, Accommodation, Restaurants",2021,Percent,0.20803,36081
Staten Island,"Hospitality, Accommodation, Restaurants",2021,Percent,0.02585,36085
New York City,"Hospitality, Accommodation, Restaurants",2021,Percent,0.68383,3651000
Riverdale,"Information, Finance, Real Estate",2021,Number,6412,208
Williamsbridge,"Information, Finance, Real Estate",2021,Number,4679,212
Throgs Neck,"Information, Finance, Real Estate",2021,Number,5079,210
Pelham Parkway,"Information, Finance, Real Estate",2021,Number,4883,211
Morrisania,"Information, Finance, Real Estate",2021,Number,2271.57558,203
East Tremont,"Information, Finance, Real Estate",2021,Number,2371.42442,206
Bedford Park,"Information, Finance, Real Estate",2021,Number,4601,207
University Heights,"Information, Finance, Real Estate",2021,Number,4013,205
Concourse/Highbridge,"Information, Finance, Real Estate",2021,Number,3604,204
Unionport/Soundview,"Information, Finance, Real Estate",2021,Number,4846,209
Mott Haven,"Information, Finance, Real Estate",2021,Number,2543.58134,201
Hunts Point,"Information, Finance, Real Estate",2021,Number,1452.41866,202
Washington Heights,"Information, Finance, Real Estate",2021,Number,11797,112
Manhattanville,"Information, Finance, Real Estate",2021,Number,8128,109
Central Harlem,"Information, Finance, Real Estate",2021,Number,8803,110
East Harlem,"Information, Finance, Real Estate",2021,Number,6274,111
Upper East Side,"Information, Finance, Real Estate",2021,Number,33300,108
Upper West Side,"Information, Finance, Real Estate",2021,Number,26623,107
Chelsea/Clinton,"Information, Finance, Real Estate",2021,Number,19335.69492,104
Midtown Business District,"Information, Finance, Real Estate",2021,Number,9677.30508,105
Murray Hill/Stuyvesant,"Information, Finance, Real Estate",2021,Number,28777,106
Lower East Side,"Information, Finance, Real Estate",2021,Number,14206,103
Battery Park/Tribeca,"Information, Finance, Real Estate",2021,Number,13185.09823,101
Greenwich Village,"Information, Finance, Real Estate",2021,Number,19463.90177,102
Tottenville,"Information, Finance, Real Estate",2021,Number,9970,503
South Beach,"Information, Finance, Real Estate",2021,Number,7320,502
St. George,"Information, Finance, Real Estate",2021,Number,7817,501
Williamsburg/Greenpoint,"Information, Finance, Real Estate",2021,Number,18185,301
Bushwick,"Information, Finance, Real Estate",2021,Number,8896,304
Bedford Stuyvesant,"Information, Finance, Real Estate",2021,Number,9530,303
Fort Greene/Brooklyn Hts,"Information, Finance, Real Estate",2021,Number,17334,302
Park Slope,"Information, Finance, Real Estate",2021,Number,14554,306
Crown Heights North,"Information, Finance, Real Estate",2021,Number,11621,308
Brownsville,"Information, Finance, Real Estate",2021,Number,3299,316
East New York,"Information, Finance, Real Estate",2021,Number,4230,305
Canarsie,"Information, Finance, Real Estate",2021,Number,8090,318
East Flatbush,"Information, Finance, Real Estate",2021,Number,5786,317
Crown Heights South,"Information, Finance, Real Estate",2021,Number,6523,309
Sunset Park,"Information, Finance, Real Estate",2021,Number,6467,307
Bay Ridge,"Information, Finance, Real Estate",2021,Number,8008,310
Borough Park,"Information, Finance, Real Estate",2021,Number,5897,312
Flatbush/Midwood,"Information, Finance, Real Estate",2021,Number,8283,314
Sheepshead Bay,"Information, Finance, Real Estate",2021,Number,8297,315
Bensonhurst,"Information, Finance, Real Estate",2021,Number,7995,311
Coney Island,"Information, Finance, Real Estate",2021,Number,4821,313
Astoria,"Information, Finance, Real Estate",2021,Number,14834,401
Jackson Heights,"Information, Finance, Real Estate",2021,Number,5794,403
Flushing,"Information, Finance, Real Estate",2021,Number,11416,407
Bayside,"Information, Finance, Real Estate",2021,Number,8122,411
Queens Village,"Information, Finance, Real Estate",2021,Number,9067,413
Fresh Meadows/Briarwood,"Information, Finance, Real Estate",2021,Number,7582,408
Elmhurst/Corona,"Information, Finance, Real Estate",2021,Number,5293,404
Rego Park/Forest Hills,"Information, Finance, Real Estate",2021,Number,10469,406
Sunnyside/Woodside,"Information, Finance, Real Estate",2021,Number,10125,402
Ridgewood/Glendale,"Information, Finance, Real Estate",2021,Number,9634,405
Woodhaven,"Information, Finance, Real Estate",2021,Number,6899,409
Jamaica/St. Albans,"Information, Finance, Real Estate",2021,Number,9715,412
Howard Beach,"Information, Finance, Real Estate",2021,Number,6064,410
The Rockaways,"Information, Finance, Real Estate",2021,Number,3729,414
Bronx,"Information, Finance, Real Estate",2021,Number,46756,36005
Brooklyn,"Information, Finance, Real Estate",2021,Number,157816,36047
Manhattan,"Information, Finance, Real Estate",2021,Number,199570,36061
Queens,"Information, Finance, Real Estate",2021,Number,118736,36081
Staten Island,"Information, Finance, Real Estate",2021,Number,25107,36085
New York City,"Information, Finance, Real Estate",2021,Number,547985,3651000
Riverdale,"Information, Finance, Real Estate",2021,Percent,0.13026,208
Williamsbridge,"Information, Finance, Real Estate",2021,Percent,0.06721,212
Throgs Neck,"Information, Finance, Real Estate",2021,Percent,0.09057,210
Pelham Parkway,"Information, Finance, Real Estate",2021,Percent,0.08568,211
Morrisania,"Information, Finance, Real Estate",2021,Percent,0.07281,203
East Tremont,"Information, Finance, Real Estate",2021,Percent,0.07281,206
Bedford Park,"Information, Finance, Real Estate",2021,Percent,0.07841,207
